pulse_index,dt_us,wall_time,monotonic
149,2989718,1783984820.8272088,108942.905358202
150,2150316,1783984822.9776216,108945.055771163
151,133599,1783984823.11111,108945.189259382
152,1557568,1783984824.669008,108946.747157497
153,2524316,1783984827.1934092,108949.271558771
154,4644756,1783984831.8382459,108953.916395558
155,81293,1783984831.9194033,108953.997552892
156,914420,1783984832.8340151,108954.912164662
157,1752091,1783984834.586152,108956.664301767
158,4410425,1783984838.9976234,108961.075773108
159,149,1783984838.9977584,108961.075907862
160,697570,1783984839.6946843,108961.772833833
161,242685,1783984839.9372804,108962.015430098
162,2428605,1783984842.3660743,108964.444223832
163,3271846,1783984845.6379614,108967.716111127
164,6153448,1783984851.79258,108973.870729364
165,158,1783984851.7927718,108973.8709212
166,259502,1783984852.0512807,108974.129430106
167,2593106,1783984854.6453412,108976.723490764
168,165,1783984854.6454668,108976.723616288
169,118452,1783984854.7630503,108976.841199885
170,515861,1783984855.278942,108977.357091945
171,4295121,1783984859.5743225,108981.652472041
172,2444319,1783984862.018775,108984.096924673
173,1088718,1783984863.1075253,108985.185675043
174,133176,1783984863.2406862,108985.3188356
175,1051134,1783984864.291943,108986.370092844
176,954832,1783984865.2467215,108987.324871147
177,2148174,1783984867.395154,108989.473303577
178,3700353,1783984871.0963883,108993.174538278
179,162,1783984871.0965989,108993.174748386
180,2277989,1783984873.3739364,108995.45208587
181,13292640,1783984886.666985,109008.74513467
182,7859887,1783984894.5271163,109016.605265809
183,1285717,1783984895.8129694,109017.891119093
184,2113072,1783984897.9261832,109020.004332894
185,1996023,1783984899.9222796,109022.000429169
186,1424313,1783984901.346629,109023.424778648
187,2975818,1783984904.3226202,109026.400769963
188,3114163,1783984907.4367363,109029.514885882
189,19067916,1783984926.5057387,109048.583888298
190,1713503,1783984928.2191877,109050.29733724
191,2239243,1783984930.4583764,109052.536526018
192,503095,1783984930.9614284,109053.039578035
193,1221824,1783984932.1833148,109054.261464287
194,8791856,1783984940.9754462,109063.053595975
195,328419,1783984941.3039896,109063.382139262
196,2151391,1783984943.4552898,109065.533439322
197,4685837,1783984948.1413507,109070.219500106
198,2544675,1783984950.68618,109072.764329667
199,9014690,1783984959.7012858,109081.779435457
200,1101387,1783984960.8025262,109082.880675834
201,1896210,1783984962.6987972,109084.776946906
202,304575,1783984963.0033047,109085.081454349
203,2671008,1783984965.674509,109087.752658633
204,10840063,1783984976.515026,109098.593175754
205,10280119,1783984986.7962387,109108.874388097
206,145,1783984986.7963665,109108.874515695
207,1935139,1783984988.7306933,109110.808842958
208,4107051,1783984992.8379862,109114.91613585
209,783953,1783984993.6218266,109115.699976021
210,8756738,1783985002.3789806,109124.45713028
211,3494890,1783985005.873884,109127.952033576
212,2119339,1783985007.994069,109130.072218619
213,163,1783985007.9942083,109130.072357596
214,7083833,1783985015.0774908,109137.155640346
215,1035121,1783985016.1126883,109138.190837913
216,716146,1783985016.8287597,109138.906909192
217,1037147,1783985017.866045,109139.944194567
218,185502,1783985018.0514016,109140.129551249
219,2786117,1783985020.8377676,109142.915917198
220,4088685,1783985024.926497,109147.004646708
221,3901805,1783985028.8291862,109150.907335894
222,161,1783985028.8293445,109150.90749412
223,1197403,1783985030.0260668,109152.104216127
224,1282254,1783985031.3083613,109153.386510865
225,1042193,1783985032.3505533,109154.428702887
226,950654,1783985033.3011456,109155.379295176
227,2457478,1783985035.7587779,109157.836927297
228,1117513,1783985036.876349,109158.95449841
229,6679802,1783985043.5563543,109165.634503664
230,653429,1783985044.209751,109166.287900357
231,622852,1783985044.8325386,109166.910688135
232,2472034,1783985047.30476,109169.382909576
233,6504709,1783985053.8096929,109175.887842591
234,442064,1783985054.2516522,109176.329801954
235,2438723,1783985056.6905973,109178.768747423
236,516194,1783985057.2067397,109179.284889228
237,239091,1783985057.4457664,109179.523916051
238,300638,1783985057.7464538,109179.82460337
239,200451,1783985057.9469483,109180.025097816
240,3814238,1783985061.7612796,109183.839429072
241,1621849,1783985063.3832235,109185.461372942
242,5326682,1783985068.7100008,109190.788150018
243,1247946,1783985069.95808,109192.036230182
244,74464,1783985070.0322537,109192.11040377
245,16064,1783985070.0484653,109192.126614935
246,11771515,1783985081.820455,109203.898604789
247,1718227,1783985083.5386233,109205.616772913
248,10939198,1783985094.478201,109216.556350938
249,1100320,1783985095.57845,109217.656599396
250,938921,1783985096.517352,109218.595501858
251,1153372,1783985097.6708138,109219.74896328
252,790852,1783985098.46165,109220.53979958
253,1768867,1783985100.2305737,109222.308723153
254,5470607,1783985105.701451,109227.779600621
255,1806324,1783985107.5077221,109229.585871828
256,283559,1783985107.7912633,109229.869412917
257,667706,1783985108.4589367,109230.537086238
258,61491,1783985108.5203106,109230.59845999
259,4233725,1783985112.7543795,109234.832529105
260,1477228,1783985114.2317145,109236.30986469
261,4913872,1783985119.1456904,109241.223840248
262,2034392,1783985121.1801453,109243.258294621
263,265424,1783985121.4454384,109243.5235881
264,2338377,1783985123.7840774,109245.862226855
265,5816715,1783985129.6007688,109251.678918349
266,9993376,1783985139.5943859,109261.672535626
267,2602727,1783985142.197146,109264.275295553
268,4036573,1783985146.2339575,109268.312107297
269,263679,1783985146.497529,109268.575678758
270,189810,1783985146.6880224,109268.766171882
271,161,1783985146.6881564,109268.76630573
272,28485,1783985146.7161098,109268.794259478
273,7348769,1783985154.0650215,109276.143171028
274,1684492,1783985155.7495205,109277.827670221
275,1819037,1783985157.5685556,109279.646705117
276,1165685,1783985158.7342575,109280.812407053
277,1861383,1783985160.5957024,109282.673852025
278,361061,1783985160.9566867,109283.034836357
279,4672678,1783985165.629532,109287.707681699
280,3288348,1783985168.9179718,109290.996121734
281,393070,1783985169.310949,109291.38909878
282,802251,1783985170.113233,109292.191382767
283,1694625,1783985171.8080657,109293.886215199
284,2290976,1783985174.099114,109296.177263557
285,2374937,1783985176.4740217,109298.552171361
286,1931257,1783985178.4052956,109300.48344532
287,1282980,1783985179.6883485,109301.766498128
288,5607622,1783985185.2961357,109307.374285328
289,3043785,1783985188.3399549,109310.418104546
290,883036,1783985189.2229812,109311.301130551
291,4991606,1783985194.214744,109316.292893639
292,32466,1783985194.2470183,109316.325167739
293,2769584,1783985197.0168035,109319.094953322
294,4448220,1783985201.4651513,109323.543300906
295,1384183,1783985202.8493419,109324.927491505
296,195696,1783985203.044929,109325.123078526
297,47471,1783985203.0922923,109325.170441877
298,437277,1783985203.5297463,109325.607895796
299,1190014,1783985204.719867,109326.798016518
300,7025001,1783985211.7450452,109333.823194821
301,111900,1783985211.8568747,109333.935024429
302,2244356,1783985214.1013155,109336.179465151
303,695788,1783985214.7970498,109336.875199423
304,2525499,1783985217.3226578,109339.400807384
305,5644108,1783985222.96693,109345.045079691
306,1879649,1783985224.8474445,109346.925594225
307,157,1783985224.847659,109346.92580849
308,15983096,1783985240.8303792,109362.908528997
309,1100904,1783985241.9310205,109364.009170033
310,4265043,1783985246.196133,109368.274282486
311,307611,1783985246.5037377,109368.58188706
312,17380223,1783985263.8852336,109385.963383329
313,166,1783985263.8853595,109385.963509106
314,921610,1783985264.8060267,109386.884176362
315,11623061,1783985276.429631,109398.507780582
316,3707857,1783985280.1374538,109402.215603386
317,18645462,1783985298.7832434,109420.861393194
318,2155943,1783985300.9391475,109423.017297231
319,1775606,1783985302.7148373,109424.792986877
320,1303786,1783985304.018623,109426.09677285
321,2235240,1783985306.2540042,109428.332153874
322,221855,1783985306.4756463,109428.553795713
323,1685495,1783985308.1612718,109430.239421392
324,2308919,1783985310.4702585,109432.54840796
325,6349925,1783985316.8203037,109438.898453193
326,256112,1783985317.0762892,109439.154438831
327,2063808,1783985319.1402278,109441.218377549
328,211016,1783985319.3512075,109441.429357026
329,2188827,1783985321.5401006,109443.618250266
330,2688307,1783985324.2285256,109446.306675113
331,1227464,1783985325.4558897,109447.534039204
332,761241,1783985326.2171676,109448.295317222
333,2022896,1783985328.2400944,109450.318244139
334,203683,1783985328.444485,109450.522634449
335,162,1783985328.444612,109450.52276145
336,4912738,1783985333.3567913,109455.434940899
337,87209,1783985333.4439194,109455.522069126
338,1058860,1783985334.502999,109456.581148603
339,4067685,1783985338.570688,109460.648837566
340,942578,1783985339.5131304,109461.591280171
341,5997564,1783985345.5109506,109467.589100368
342,3927033,1783985349.4379618,109471.516111224
343,1414930,1783985350.8530092,109472.931158816
344,4579050,1783985355.4320705,109477.510220029
345,218702,1783985355.650687,109477.728836999
346,3089377,1783985358.7401984,109480.818347999
347,149700,1783985358.8898501,109480.967999722
348,1544620,1783985360.4345102,109482.512659797
349,2291729,1783985362.726295,109484.804444695
350,180169,1783985362.9063447,109484.98449469
351,7533855,1783985370.4404564,109492.518605879
352,1194653,1783985371.635182,109493.713331501
353,3990231,1783985375.6262228,109497.704372644
354,160,1783985375.626365,109497.704514257
355,9698,1783985375.6350577,109497.713207791
356,3821252,1783985379.4566374,109501.534787135
357,10172849,1783985389.629694,109511.707843445
358,2803717,1783985392.4333136,109514.511463227
359,814345,1783985393.2476473,109515.325796898
360,6123036,1783985399.3708131,109521.4489628
361,323202,1783985399.6939929,109521.772142409
362,2784694,1783985402.4787853,109524.556934866
363,281183,1783985402.7599347,109524.838084466
364,8829584,1783985411.5896354,109533.667784933
365,10084833,1783985421.674795,109543.752945065
366,1093897,1783985422.7685428,109544.846692676
367,650208,1783985423.41868,109545.49682961
368,2267995,1783985425.687562,109547.765711547
369,148,1783985425.6877568,109547.765906357
370,28974,1783985425.7156897,109547.793839161
371,189150,1783985425.9051135,109547.983263016
372,3967312,1783985429.8725042,109551.950653971
373,4928514,1783985434.801283,109556.879432363
374,327086,1783985435.1281507,109557.206300414
375,10187406,1783985445.3158083,109567.393957795
376,1606705,1783985446.922427,109569.000576433
377,203970,1783985447.1265106,109569.204660232
378,2271410,1783985449.3977468,109571.475896152
379,1837561,1783985451.2353814,109573.313530832
380,1748559,1783985452.9839413,109575.06209104
381,1729586,1783985454.7135646,109576.791714269
382,9889437,1783985464.6031964,109586.681346107
383,181966,1783985464.7850163,109586.86316599
384,656092,1783985465.441114,109587.519263478
385,63503,1783985465.5045476,109587.582697132
386,105593,1783985465.6102536,109587.688403099
387,144094,1783985465.754255,109587.83240459
388,890137,1783985466.6446776,109588.722827391
389,114764,1783985466.75933,109588.837479704
390,77514,1783985466.836687,109588.914836811
391,8571328,1783985475.4084873,109597.486637069
392,1314824,1783985476.7231984,109598.801348041
393,1184127,1783985477.9072218,109599.985371291
394,399800,1783985478.3077896,109600.385939269
395,165,1783985478.3079264,109600.386076053
396,2895244,1783985481.2025774,109603.280726898
397,1664119,1783985482.8668325,109604.944982071
398,5337354,1783985488.2048936,109610.283043359
399,159,1783985488.2050214,109610.28317081
400,15047695,1783985503.2522056,109625.330355252
401,4305090,1783985507.5581217,109629.636271369
402,161,1783985507.5583675,109629.636517026
403,553352,1783985508.1107366,109630.188886113
404,722164,1783985508.8328903,109630.911039861
405,2459568,1783985511.2925522,109633.370701759
406,1571246,1783985512.8639536,109634.94210324
407,1301384,1783985514.1652095,109636.243359227
408,811192,1783985514.9764097,109637.054559442
409,6897714,1783985521.8742373,109643.952386665
410,2610689,1783985524.4850073,109646.56315703
411,1349302,1783985525.834251,109647.912400483
412,1894115,1783985527.728438,109649.806587547
413,9456386,1783985537.184943,109659.263092496
414,26075,1783985537.2107873,109659.288937077
415,2340050,1783985539.5512772,109661.629426603
416,3974287,1783985543.5254338,109665.603583384
417,1027181,1783985544.5526278,109666.630777393
418,599240,1783985545.1517694,109667.229919099
419,1754316,1783985546.9061952,109668.984344792
420,4496542,1783985551.4027927,109673.480942512
421,6383435,1783985557.7862265,109679.864376078
422,2992742,1783985560.7790542,109682.857203705
423,702044,1783985561.4810164,109683.559165913
424,1630387,1783985563.1115227,109685.189671996
425,6978012,1783985570.0895576,109692.167707286
426,308134,1783985570.3976967,109692.475846318
427,1934415,1783985572.3321493,109694.410298722
428,2604777,1783985574.9369957,109697.015145426
429,1181219,1783985576.1181397,109698.19628928
430,994912,1783985577.1137624,109699.191911738
431,163,1783985577.1138985,109699.192047921
432,4607762,1783985581.721306,109703.799455551
433,1287266,1783985583.0083714,109705.086520922
434,671458,1783985583.6797793,109705.75792889
435,2064374,1783985585.744224,109707.822373627
436,245020,1783985585.9900665,109708.068216068
437,161,1783985585.9902453,109708.068394793
438,279851,1783985586.2692323,109708.347381859
439,1497238,1783985587.7665555,109709.844705265
440,3713997,1783985591.4805353,109713.558684804
441,5962558,1783985597.4432192,109719.52136889
442,5926448,1783985603.3696873,109725.447836825
443,49214,1783985603.4187338,109725.496883258
444,360317,1783985603.7791355,109725.857285029
445,5578866,1783985609.3581183,109731.436267899
446,4961469,1783985614.319705,109736.397854892
447,319329,1783985614.6391232,109736.717272866
448,1028116,1783985615.6680124,109737.746161933
449,150,1783985615.6682158,109737.746365239
450,1478446,1783985617.1457324,109739.223881943
451,338205,1783985617.4838853,109739.562034983
452,1864099,1783985619.3480585,109741.42620798
453,3974375,1783985623.3225348,109745.400684609
454,1429146,1783985624.7515523,109746.829701929
455,740920,1783985625.492439,109747.570588676
456,2765509,1783985628.2580836,109750.336233052
457,3048894,1783985631.3070285,109753.385178037
458,540782,1783985631.8477125,109753.925862109
459,6053011,1783985637.9008176,109759.978967239
460,3048936,1783985640.949801,109763.027950462
461,5260181,1783985646.2100027,109768.288152217
462,8664023,1783985654.8740695,109776.952219023
463,4668342,1783985659.542618,109781.62076756
464,4904157,1783985664.4467275,109786.524876963
465,189315,1783985664.6360056,109786.714155194
466,1835198,1783985666.4714775,109788.549627215
467,3947082,1783985670.4191642,109792.497313721
468,150,1783985670.4193323,109792.497481854
469,2846637,1783985673.2651732,109795.343322906
470,1932358,1783985675.1975737,109797.275723195
471,7936032,1783985683.1336586,109805.211808142
472,435397,1783985683.5690458,109805.647195443
473,716707,1783985684.285678,109806.36382738
474,8616269,1783985692.9021187,109814.980268261
475,152309,1783985693.0542977,109815.132447056
476,1701078,1783985694.7555852,109816.833735179
477,911548,1783985695.667028,109817.745177523
478,3760027,1783985699.4271452,109821.505294963
479,2363293,1783985701.7904456,109823.868595148
480,1764092,1783985703.5546038,109825.632753223
481,3303290,1783985706.8586686,109828.936818058
482,161,1783985706.8587933,109828.936942733
483,2925186,1783985709.7832446,109831.861394235
484,564013,1783985710.3474278,109832.425577483
485,2091155,1783985712.4386725,109834.516822704
486,2595817,1783985715.0343523,109837.112501918
487,345989,1783985715.3802583,109837.458407949
488,171054,1783985715.5512364,109837.629385791
489,3267808,1783985718.819978,109840.898127594
490,143,1783985718.820117,109840.898266301
491,2222973,1783985721.0423427,109843.120492401
492,12543124,1783985733.585597,109855.663746506
493,3391389,1783985736.9769502,109859.055099854
494,693011,1783985737.6699111,109859.748060783
495,10036811,1783985747.706988,109869.785137692
496,2801103,1783985750.5081384,109872.586288092
497,1972657,1783985752.480645,109874.558794329
498,203341,1783985752.6840532,109874.762202755
499,3540819,1783985756.2248893,109878.303038856
500,8169977,1783985764.3948689,109886.4730183
501,260261,1783985764.655014,109886.733163686
502,494776,1783985765.1498287,109887.227978323
503,9896299,1783985775.0466022,109897.124751941
504,523240,1783985775.5694978,109897.647647474
505,607112,1783985776.1766381,109898.254787879
506,5082103,1783985781.2595944,109903.337744036
507,147,1783985781.2597268,109903.337876202
508,3989655,1783985785.2494235,109907.327573163
509,161,1783985785.2495587,109907.327708081
510,623851,1783985785.8725405,109907.950689894
511,7588567,1783985793.4612575,109915.539407109
512,503671,1783985793.9647837,109916.042933339
513,429929,1783985794.3947203,109916.472869861
514,868607,1783985795.2633111,109917.341460667
515,2134365,1783985797.3979447,109919.476094167
516,2769932,1783985800.16774,109922.245889798
517,205026,1783985800.3727198,109922.450869528
518,6225357,1783985806.599054,109928.677203613
519,162,1783985806.599207,109928.677356426
520,266043,1783985806.8645158,109928.94266538
521,182688,1783985807.0470924,109929.125242184
522,4595604,1783985811.6427438,109933.720893394
523,1107775,1783985812.750534,109934.828683864
524,4592450,1783985817.3431191,109939.4212686
525,4052658,1783985821.3957174,109943.473866912
526,5903539,1783985827.2993007,109949.377450067
527,1242937,1783985828.5424132,109950.620563035
528,4849250,1783985833.3916175,109955.469767088
529,6313248,1783985839.7047975,109961.782947002
530,690179,1783985840.3950584,109962.473207923
531,7579265,1783985847.9743207,109970.052470318
532,6631290,1783985854.6057334,109976.683883199
533,3003646,1783985857.609371,109979.687520513
534,7181227,1783985864.7905412,109986.868690609
535,6678592,1783985871.4693277,109993.54747718
536,1079360,1783985872.5485306,109994.626680157
537,14273477,1783985886.8223057,110008.900455387
538,1622,1783985886.8234928,110008.901642328
539,3025746,1783985889.8495939,110011.927743486
540,1654940,1783985891.505328,110013.583477512
541,152,1783985891.5054724,110013.583621998
542,163511,1783985891.668094,110013.746243422
543,2143002,1783985893.8111434,110015.889293074
544,1816581,1783985895.6277142,110017.705863622
545,4895803,1783985900.5236444,110022.601793895
546,3468710,1783985903.99232,110026.070469567
547,510914,1783985904.5030982,110026.581248622
548,780750,1783985905.2839422,110027.362091767
549,7969865,1783985913.253997,110035.332146699
550,996342,1783985914.2501233,110036.328272818
551,1188603,1783985915.4389105,110037.517060123
552,5222766,1783985920.6616287,110042.739778307
553,1117755,1783985921.7793639,110043.857513551
554,10178126,1783985931.9577243,110054.035874589
555,2484478,1783985934.4420702,110056.52021996
556,691193,1783985935.133307,110057.211456593
557,1783655,1783985936.9170303,110058.99517983
558,4541295,1783985941.4583938,110063.536544198
559,3107211,1783985944.5654356,110066.643585218
560,351128,1783985944.9165566,110066.994706081
561,5106401,1783985950.0230627,110072.101212451
562,1224488,1783985951.24835,110073.326499409
563,161,1783985951.2484763,110073.326625511
564,1487037,1783985952.7355206,110074.813670138
565,154,1783985952.735647,110074.813796426
566,8314415,1783985961.049348,110083.12749757
567,721247,1783985961.7706463,110083.848796574
568,1975566,1783985963.7461872,110085.82433693
569,2229424,1783985965.9757454,110088.053895039
570,560919,1783985966.5364904,110088.614639937
571,23695,1783985966.5601723,110088.638321882
572,1423511,1783985967.9845145,110090.062664079
573,161,1783985967.984639,110090.062788329
574,4767571,1783985972.7515237,110094.829673462
575,3187268,1783985975.9387844,110098.016933792
576,1321294,1783985977.261083,110099.339232687
577,148,1783985977.2612493,110099.339398852
578,2370200,1783985979.6305945,110101.70874429
579,2230571,1783985981.8611262,110103.939275782
580,2235303,1783985984.0963721,110106.174521976
581,187088,1783985984.283426,110106.361575665
582,239674,1783985984.5230973,110106.601247404
583,2462769,1783985986.9867048,110109.064854352
584,152,1783985986.9868207,110109.064970017
585,212723,1783985987.1987708,110109.276920367
586,2240457,1783985989.440053,110111.518202685
587,146,1783985989.4402025,110111.518351846
588,141980,1783985989.5813134,110111.659462958
589,2841745,1783985992.4231532,110114.50130318
590,2117130,1783985994.5403748,110116.618524894
591,153242,1783985994.6934984,110116.771648106
592,968138,1783985995.6616304,110117.73978003
593,1138325,1783985996.8001764,110118.878325942
594,2350649,1783985999.1505208,110121.228670562
595,1745090,1783986000.8953695,110122.973519041
596,1759571,1783986002.654822,110124.732971578
597,7666561,1783986010.3207374,110132.398886951
598,784527,1783986011.1052713,110133.183420974
599,803142,1783986011.9097648,110133.987914468
600,606256,1783986012.5143876,110134.59253734
601,1796800,1783986014.311205,110136.389354355
602,928998,1783986015.2400537,110137.318203332
603,1842980,1783986017.082878,110139.161027908
604,3708322,1783986020.791017,110142.869166536
605,2181697,1783986022.972477,110145.050626615
606,392597,1783986023.3650703,110145.443219824
607,2950549,1783986026.3153718,110148.393521384
608,4595990,1783986030.9111552,110152.989305108
609,7913092,1783986038.82351,110160.901659602
610,9651474,1783986048.4741309,110170.552280478
611,1208924,1783986049.6829317,110171.761081168
612,1186373,1783986050.8693793,110172.94752906
613,7422973,1783986058.2919383,110180.370088106
614,3140311,1783986061.4318886,110183.510038154
615,3084784,1783986064.5163343,110186.594483992
616,2884679,1783986067.4007678,110189.478917353
617,12382960,1783986079.7830951,110201.861244506
618,3623560,1783986083.4061055,110205.484255296
619,1354747,1783986084.7607856,110206.838935368
620,3007931,1783986087.7684894,110209.846639114
621,4553617,1783986092.321968,110214.400117577
622,795070,1783986093.1167395,110215.194889118
623,98293,1783986093.215012,110215.293161504
624,6130899,1783986099.3455658,110221.423715227
625,715111,1783986100.0605586,110222.138708175
626,5637561,1783986105.6977792,110227.775928668
627,94555,1783986105.7925713,110227.870721102
628,5288550,1783986111.0805094,110233.158658971
629,1148911,1783986112.2293396,110234.307489266
630,1274241,1783986113.5035038,110235.581653409
631,858059,1783986114.3614752,110236.439624936
632,6540933,1783986120.9020185,110242.980168191
633,6467570,1783986127.3692884,110249.447437887
634,8752716,1783986136.122013,110258.200162817
635,163,1783986136.1221411,110258.200290534
636,8534095,1783986144.6549258,110266.733075341
637,1386326,1783986146.0413013,110268.119450833
638,2246089,1783986148.2871032,110270.365252785
639,2592609,1783986150.8795373,110272.957687007
640,82387,1783986150.9625385,110273.040688734
641,164,1783986150.9626665,110273.040815974
642,1175743,1783986152.1377847,110274.215934294
643,1695516,1783986153.8332143,110275.911363752
644,1024757,1783986154.857849,110276.93599839
645,1673321,1783986156.531177,110278.609326607
646,2265646,1783986158.796642,110280.874791715
647,5531367,1783986164.327622,110286.405771539
648,5555801,1783986169.8831546,110291.961304402
649,4855364,1783986174.7382123,110296.816361806
650,1849173,1783986176.587473,110298.665622483
651,862404,1783986177.449471,110299.527620684
